,imgep_1_mean,imgep_1_inf,imgep_1_sup,imgep_1_iterations,imgep_2_mean,imgep_2_inf,imgep_2_sup,imgep_2_iterations,imgep_3_mean,imgep_3_inf,imgep_3_sup,imgep_3_iterations,operators_1_mean,operators_1_inf,operators_1_sup,operators_1_iterations,operators_2_mean,operators_2_inf,operators_2_sup,operators_2_iterations,operators_3_mean,operators_3_inf,operators_3_sup,operators_3_iterations,rand_1_mean,rand_1_inf,rand_1_sup,rand_1_iterations
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1,396.6029411764706,395.8958990527405,397.3099833002007,1000,396.52786220871326,395.8285342313062,397.2271901861203,1000,396.55927051671733,395.85982047725236,397.2587205561823,1000,396.5046439628483,395.7998510463967,397.2094368792999,1000,396.5171717171717,395.8179691012681,397.21637433307535,1000,396.48487903225805,395.78617088117556,397.18358718334053,1000,396.4593301435407,395.7137239191397,397.2049363679417,1000
2,1117.5682773109243,1115.7131540707758,1119.4234005510727,2000,1238.644376899696,1237.3241286499604,1239.9646251494316,2000,1263.9138804457953,1262.7280302787326,1265.099730612858,2000,655.9917440660474,654.9330380618034,657.0504500702915,2000,859.7686868686868,858.5973034722435,860.9400702651301,2000,893.297379032258,892.1254170072423,894.4693410572738,2000,651.7679425837321,650.7608280323102,652.7750571351539,2000
3,1831.2279411764705,1828.3851552477138,1834.0707271052272,3000,2049.277608915907,2047.4224989460697,2051.1327188857445,3000,2097.433637284701,2095.768930074711,2099.098344494691,3000,887.3395252837977,885.985644701746,888.6934058658494,3000,1299.7717171717172,1298.2322490099589,1301.3111853334756,3000,1347.1905241935483,1345.577089577679,1348.8039588094175,3000,876.3217703349283,875.134323534682,877.5092171351745,3000
4,2522.700630252101,2518.8996386364165,2526.501621867785,4000,2831.2826747720364,2828.936628605672,2833.628720938401,4000,2901.7325227963524,2899.6115485711393,2903.8534970215655,4000,1101.5902992776057,1099.9995165694136,1103.1810819857978,4000,1719.6434343434344,1717.7676528429502,1721.5192158439186,4000,1773.188508064516,1771.1959770873254,1775.1810390417068,4000,1084.3576555023924,1083.0068043644662,1085.7085066403185,4000
5,3196.530462184874,3191.843827940684,3201.217096429064,5000,3591.93009118541,3589.145552405881,3594.7146299649394,5000,3682.161094224924,3679.5768289749817,3684.7453594748663,5000,1303.4313725490197,1301.583726489569,1305.2790186084703,5000,2121.651515151515,2119.485286854932,2123.817743448098,5000,2179.1129032258063,2176.7429520045016,2181.482854447111,5000,1278.75,1277.251018853108,1280.248981146892,5000
6,3854.7699579831933,3849.1886616230054,3860.3512543433812,6000,4335.304964539007,4332.072795179481,4338.537133898534,6000,4445.3941236068895,4442.393916302234,4448.394330911545,6000,1495.3498452012384,1493.3474112688116,1497.3522791336652,6000,2509.5272727272727,2507.110174009401,2511.9443714451445,6000,2569.4637096774195,2566.772254055295,2572.155165299544,6000,1463.1758373205741,1461.5484370284466,1464.8032376127017,6000
7,4502.0210084033615,4495.565226887896,4508.476789918827,7000,5065.704154002026,5062.020338505639,5069.387969498413,7000,5192.80547112462,5189.359482187621,5196.25146006162,7000,1679.7100103199175,1677.508676541048,1681.911344098787,7000,2884.633333333333,2881.9765859357117,2887.2900807309547,7000,2945.859879032258,2942.8589719713314,2948.8607860931847,7000,1640.848086124402,1639.0788548276512,1642.6173174211528,7000
8,5139.61449579832,5132.258919185874,5146.970072410765,8000,5783.866261398176,5779.78028053289,5787.952242263462,8000,5926.602836879432,5922.735101584476,5930.4705721743885,8000,1858.1775025799793,1855.8056175190893,1860.5493876408693,8000,3250.0838383838386,3247.129611459574,3253.0380653081033,8000,3310.6330645161293,3307.3244913376875,3313.941637694571,8000,1811.952153110048,1810.1053413928034,1813.7989648272924,8000
9,5768.94012605042,5760.721739708978,5777.158512391862,9000,6489.821681864235,6485.34859588552,6494.29476784295,9000,6649.072948328268,6644.732288515293,6653.413608141243,9000,2031.670794633643,2029.0954506979035,2034.2461385693825,9000,3605.693939393939,3602.482852604338,3608.9050261835405,9000,3666.3870967741937,3662.7914834815774,3669.98271006681,9000,1977.83014354067,1975.884468265002,1979.775818816338,9000
10,6388.378151260505,6379.336655037821,6397.419647483188,10000,7186.223910840932,7181.365675824253,7191.082145857611,10000,7361.2725430597775,7356.465808983405,7366.07927713615,10000,2199.7750257997936,2197.046409389045,2202.5036422105422,10000,3952.373737373737,3948.9393999239846,3955.8080748234897,10000,4014.4143145161293,4010.5418954024276,4018.286733629831,10000,2139.0155502392345,2137.0040239192035,2141.0270765592654,10000
