,imgep_1_mean,imgep_1_inf,imgep_1_sup,imgep_2_mean,imgep_2_inf,imgep_2_sup,imgep_3_mean,imgep_3_inf,imgep_3_sup,operators_1_mean,operators_1_inf,operators_1_sup,operators_2_mean,operators_2_inf,operators_2_sup,operators_3_mean,operators_3_inf,operators_3_sup,rand_1_mean,rand_1_inf,rand_1_sup
"b0,r0",33.093877551020405,32.84010960023462,33.34764550180619,38.875751503006015,38.611243480815546,39.140259525196484,40.17635270541082,39.89936889438411,40.45333651643753,15.818548387096774,15.680791232921948,15.9563055412716,23.96586345381526,23.79559054393529,24.13613636369523,24.136,23.96950839937586,24.302491600624137,15.340380549682875,15.208286400177846,15.472474699187904
"b0,r1",19.66734693877551,19.4309422802849,19.90375159726612,20.402805611222444,20.061879037222454,20.743732185222434,19.937875751503007,19.53659611976386,20.339155383242154,15.786290322580646,15.65854517241919,15.914035472742102,23.26305220883534,23.10459064794979,23.42151376972089,23.57,23.400277643808703,23.739722356191297,15.54968287526427,15.42640802899827,15.67295772153027
"b0,r2",8.66530612244898,8.615244753890677,8.715367491007283,9.352705410821644,9.30086466082092,9.404546160822367,9.569138276553106,9.509784998090442,9.62849155501577,5.778225806451613,5.71621887040401,5.840232742499216,7.42570281124498,7.362008691290807,7.489396931199153,7.49,7.425946793638234,7.5540532063617665,5.651162790697675,5.594120939896543,5.708204641498806
"b1,r0",19.26326530612245,19.044794734239257,19.48173587800564,30.663326653306612,30.426614149339517,30.900039157273707,33.53707414829659,33.312086728520555,33.762061568072625,9.875,9.763684704964776,9.986315295035224,13.666666666666666,13.539120790232888,13.794212543100445,14.004,13.882603252875958,14.125396747124041,9.682875264270614,9.5769386889649,9.788811839576328
"b1,r1",11.216326530612244,11.060764242585615,11.371888818638874,13.90380761523046,13.630699591751327,14.176915638709595,14.306613226452907,14.006460517335324,14.60676593557049,9.65725806451613,9.56042422923154,9.75409189980072,12.42570281124498,12.299580660074765,12.551824962415195,12.456,12.339824260143928,12.572175739856071,9.456659619450317,9.364417391684329,9.548901847216305
"b1,r2",5.66734693877551,5.6113371730100825,5.7233567045409375,7.755511022044089,7.703855210347881,7.807166833740296,8.120240480961924,8.063290662379478,8.17719029954437,4.235887096774194,4.195235798290911,4.276538395257477,4.791164658634538,4.751376905038546,4.8309524122305305,4.828,4.786634686325762,4.869365313674239,4.255813953488372,4.215130049454543,4.2964978575222
"b2,r0",19.240816326530613,19.044059055776717,19.43757359728451,30.462925851703407,30.24047850093622,30.685373202470593,33.28657314629258,33.056021285779785,33.51712500680538,9.997983870967742,9.887529037621125,10.10843870431436,13.82730923694779,13.714145381273324,13.940473092622257,13.916,13.79566225466914,14.036337745330862,9.771670190274842,9.66374766349681,9.879592717052873
"b2,r1",11.324489795918367,11.169133959142469,11.479845632694266,13.711422845691382,13.444567248234435,13.97827844314833,14.19438877755511,13.891661107283689,14.497116447826532,9.441532258064516,9.345123676465263,9.537940839663769,12.433734939759036,12.305603436392675,12.561866443125398,12.508,12.385045303889447,12.630954696110551,9.412262156448202,9.312709354976256,9.511814957920148
"b2,r2",5.755102040816326,5.69634336446682,5.8138607171658325,7.731462925851703,7.680248644933457,7.78267720676995,8.118236472945892,8.05551204504926,8.180960900842523,4.270161290322581,4.227856995567784,4.312465585077378,4.759036144578313,4.719413750895824,4.798658538260802,4.768,4.727180321929897,4.808819678070103,4.236786469344609,4.195592394505435,4.277980544183783
"b3,r0",19.43673469387755,19.212895605971084,19.660573781784016,30.879759519038075,30.65470601635723,31.10481302171892,33.53507014028056,33.308483782616364,33.761656497944756,9.816532258064516,9.704718541972278,9.928345974156754,13.720883534136545,13.596846870146212,13.844920198126879,13.946,13.820046703166067,14.071953296833932,9.623678646934462,9.515436749521054,9.731920544347869
"b3,r1",11.271428571428572,11.12181503786502,11.421042104992125,14.334669338677354,14.065232680967561,14.604105996387148,14.32865731462926,14.016021101613577,14.641293527644942,9.493951612903226,9.394178334636942,9.59372489116951,12.471887550200803,12.349099855493034,12.594675244908572,12.486,12.364741854215552,12.60725814578445,9.46723044397463,9.373914213079145,9.560546674870116
"b3,r2",5.718367346938775,5.662727393305882,5.774007300571668,7.697394789579159,7.6471182963300866,7.747671282828231,8.080160320641282,8.018421944949283,8.14189869633328,4.231854838709677,4.189742066896849,4.273967610522505,4.742971887550201,4.703625144843511,4.782318630256891,4.774,4.735039282598003,4.812960717401997,4.2283298097251585,4.18570450048054,4.270955118969777
